rt,stimulus,key_press,Trial,nTotal,nDiff,mask,prime,probe,trial_type,trial_index,time_elapsed,internal_node_id,response,cresponse,ACC
1862,TZR,90,true,3,0,+++,TZR,TZR,html-keyboard-response,14,47462,0.0-9.0-5.0,z,m,false
756,VK,77,true,2,1,-+,RK,VK,html-keyboard-response,21,51071,0.0-9.0-5.1,m,z,false
1272,MN,90,true,2,0,++,MN,MN,html-keyboard-response,28,55197,0.0-9.0-5.2,z,m,false
1442,Q,77,true,1,1,-,R,Q,html-keyboard-response,35,59466,0.0-9.0-5.3,m,z,false
726,CNP,90,true,3,0,+++,CNP,CNP,html-keyboard-response,42,63034,0.0-9.0-5.4,z,m,false
676,H,90,true,1,1,-,C,H,html-keyboard-response,49,66555,0.0-9.0-5.5,z,z,true
1102,JC,90,true,2,2,--,TN,JC,html-keyboard-response,56,70490,0.0-9.0-5.6,z,z,true
897,DF,90,true,2,1,-+,TF,DF,html-keyboard-response,63,74198,0.0-9.0-5.7,z,z,true
564,HPG,77,true,3,0,+++,HPG,HPG,html-keyboard-response,70,77579,0.0-9.0-5.8,m,m,true
558,TF,90,true,2,0,++,TF,TF,html-keyboard-response,77,80947,0.0-9.0-5.9,z,m,false
590,ZVG,90,true,3,2,-+-,XVQ,ZVG,html-keyboard-response,84,84346,0.0-9.0-5.10,z,z,true
494,T,90,true,1,1,-,P,T,html-keyboard-response,91,87670,0.0-9.0-5.11,z,z,true
530,MG,77,true,2,0,++,MG,MG,html-keyboard-response,98,91017,0.0-9.0-5.12,m,m,true
713,SMGZ,77,true,4,0,++++,SMGZ,SMGZ,html-keyboard-response,105,94544,0.0-9.0-5.13,m,m,true
1671,Z,90,true,1,1,-,N,Z,html-keyboard-response,112,99040,0.0-9.0-5.14,z,z,true
750,FZGJ,90,true,4,1,+++-,FZGV,FZGJ,html-keyboard-response,119,102599,0.0-9.0-5.15,z,z,true
769,NVDS,77,true,4,0,++++,NVDS,NVDS,html-keyboard-response,126,106183,0.0-9.0-5.16,m,m,true
735,DBRX,90,true,4,4,----,WSLZ,DBRX,html-keyboard-response,133,109731,0.0-9.0-5.17,z,z,true
814,N,77,true,1,0,+,N,N,html-keyboard-response,140,113355,0.0-9.0-5.18,m,m,true
652,DNK,90,true,3,3,---,HQC,DNK,html-keyboard-response,147,116837,0.0-9.0-5.19,z,z,true
716,CLQJ,77,true,4,0,++++,CLQJ,CLQJ,html-keyboard-response,154,120381,0.0-9.0-5.20,m,m,true
797,XL,77,true,2,0,++,XL,XL,html-keyboard-response,161,123990,0.0-9.0-5.21,m,m,true
502,BT,90,true,2,2,--,ZC,BT,html-keyboard-response,168,127309,0.0-9.0-5.22,z,z,true
576,GFW,77,true,3,0,+++,GFW,GFW,html-keyboard-response,175,130714,0.0-9.0-5.23,m,m,true
682,LCB,90,true,3,1,+-+,LNB,LCB,html-keyboard-response,182,134213,0.0-9.0-5.24,z,z,true
767,JQG,90,true,3,2,--+,RSG,JQG,html-keyboard-response,189,137795,0.0-9.0-5.25,z,z,true
637,TPXF,77,true,4,3,--+-,RJXW,TPXF,html-keyboard-response,196,141240,0.0-9.0-5.26,m,z,false
1326,TZXC,77,true,4,0,++++,TZXC,TZXC,html-keyboard-response,203,145380,0.0-9.0-5.27,m,m,true
716,G,77,true,1,0,+,G,G,html-keyboard-response,210,148916,0.0-9.0-5.28,m,m,true
824,T,77,true,1,0,+,T,T,html-keyboard-response,217,152566,0.0-9.0-5.29,m,m,true
591,HKWX,90,true,4,2,-+-+,JKBX,HKWX,html-keyboard-response,224,155978,0.0-9.0-5.30,z,z,true
886,S,77,true,1,0,+,S,S,html-keyboard-response,231,159685,0.0-9.0-5.31,m,m,true
