rt,stimulus,key_press,Trial,nTotal,nDiff,mask,prime,probe,trial_type,trial_index,time_elapsed,internal_node_id,response,cresponse,ACC
469,SCD,77,true,3,2,-+-,TCK,SCD,html-keyboard-response,14,22825,0.0-9.0-5.0,m,m,true
435,KZM,90,true,3,0,+++,KZM,KZM,html-keyboard-response,21,26073,0.0-9.0-5.1,z,z,true
466,XR,77,true,2,2,--,LF,XR,html-keyboard-response,28,29348,0.0-9.0-5.2,m,m,true
593,SWZL,77,true,4,2,+-+-,SFZH,SWZL,html-keyboard-response,35,32751,0.0-9.0-5.3,m,m,true
394,P,90,true,1,0,+,P,P,html-keyboard-response,42,35954,0.0-9.0-5.4,z,z,true
492,PCZ,90,true,3,0,+++,PCZ,PCZ,html-keyboard-response,49,39254,0.0-9.0-5.5,z,z,true
531,HL,90,true,2,0,++,HL,HL,html-keyboard-response,56,42593,0.0-9.0-5.6,z,z,true
486,SF,90,true,2,0,++,SF,SF,html-keyboard-response,63,45888,0.0-9.0-5.7,z,z,true
441,ZV,90,true,2,0,++,ZV,ZV,html-keyboard-response,70,49137,0.0-9.0-5.8,z,z,true
565,LSJB,77,true,4,3,+---,LWVH,LSJB,html-keyboard-response,77,52513,0.0-9.0-5.9,m,m,true
550,Z,77,true,1,1,-,F,Z,html-keyboard-response,84,55872,0.0-9.0-5.10,m,m,true
640,H,77,true,1,1,-,M,H,html-keyboard-response,91,59318,0.0-9.0-5.11,m,m,true
630,QBZX,90,true,4,0,++++,QBZX,QBZX,html-keyboard-response,98,62756,0.0-9.0-5.12,z,z,true
433,CML,77,true,3,2,--+,XQL,CML,html-keyboard-response,105,66000,0.0-9.0-5.13,m,m,true
497,QHL,90,true,3,0,+++,QHL,QHL,html-keyboard-response,112,69304,0.0-9.0-5.14,z,z,true
508,KLNX,77,true,4,4,----,DRTP,KLNX,html-keyboard-response,119,72620,0.0-9.0-5.15,m,m,true
449,F,77,true,1,1,-,X,F,html-keyboard-response,126,75890,0.0-9.0-5.16,m,m,true
418,LX,77,true,2,1,+-,LC,LX,html-keyboard-response,133,79123,0.0-9.0-5.17,m,m,true
658,LWMV,90,true,4,0,++++,LWMV,LWMV,html-keyboard-response,140,82592,0.0-9.0-5.18,z,z,true
453,QK,77,true,2,2,--,PM,QK,html-keyboard-response,147,85853,0.0-9.0-5.19,m,m,true
457,G,90,true,1,0,+,G,G,html-keyboard-response,154,89119,0.0-9.0-5.20,z,z,true
469,X,90,true,1,0,+,X,X,html-keyboard-response,161,92396,0.0-9.0-5.21,z,z,true
473,V,90,true,1,0,+,V,V,html-keyboard-response,168,95677,0.0-9.0-5.22,z,z,true
590,SP,90,true,2,0,++,SP,SP,html-keyboard-response,175,99077,0.0-9.0-5.23,z,z,true
566,QXMG,90,true,4,0,++++,QXMG,QXMG,html-keyboard-response,182,102449,0.0-9.0-5.24,z,z,true
493,CND,77,true,3,3,---,MTB,CND,html-keyboard-response,189,105751,0.0-9.0-5.25,m,m,true
564,VRFW,77,true,4,1,-+++,KRFW,VRFW,html-keyboard-response,196,109126,0.0-9.0-5.26,m,m,true
471,VSK,77,true,3,1,-++,GSK,VSK,html-keyboard-response,203,112406,0.0-9.0-5.27,m,m,true
402,ZPV,90,true,3,0,+++,ZPV,ZPV,html-keyboard-response,210,115616,0.0-9.0-5.28,z,z,true
501,KR,77,true,2,1,-+,PR,KR,html-keyboard-response,217,118927,0.0-9.0-5.29,m,m,true
453,H,77,true,1,1,-,S,H,html-keyboard-response,224,122192,0.0-9.0-5.30,m,m,true
522,VTFW,90,true,4,0,++++,VTFW,VTFW,html-keyboard-response,231,125525,0.0-9.0-5.31,z,z,true
