rt,stimulus,key_press,Trial,nTotal,nDiff,mask,prime,probe,trial_type,trial_index,time_elapsed,internal_node_id,response,cresponse,ACC
519,NDJ,90,true,3,0,+++,NDJ,NDJ,html-keyboard-response,14,71206,0.0-9.0-5.0,z,z,true
434,H,90,true,1,0,+,H,H,html-keyboard-response,21,74476,0.0-9.0-5.1,z,z,true
474,TMPK,77,true,4,0,++++,TMPK,TMPK,html-keyboard-response,28,77797,0.0-9.0-5.2,m,z,false
487,H,77,true,1,1,-,B,H,html-keyboard-response,35,81125,0.0-9.0-5.3,m,m,true
522,BMVS,77,true,4,1,++-+,BMQS,BMVS,html-keyboard-response,42,84501,0.0-9.0-5.4,m,m,true
463,NHB,77,true,3,3,---,DZK,NHB,html-keyboard-response,49,87800,0.0-9.0-5.5,m,m,true
539,HFKW,90,true,4,0,++++,HFKW,HFKW,html-keyboard-response,56,91197,0.0-9.0-5.6,z,z,true
478,XWGD,90,true,4,0,++++,XWGD,XWGD,html-keyboard-response,63,94509,0.0-9.0-5.7,z,z,true
455,RD,77,true,2,2,--,JP,RD,html-keyboard-response,70,97797,0.0-9.0-5.8,m,m,true
484,HW,77,true,2,2,--,CL,HW,html-keyboard-response,77,101116,0.0-9.0-5.9,m,m,true
482,WZH,90,true,3,0,+++,WZH,WZH,html-keyboard-response,84,104436,0.0-9.0-5.10,z,z,true
422,Z,77,true,1,1,-,L,Z,html-keyboard-response,91,107701,0.0-9.0-5.11,m,m,true
534,RLK,77,true,3,2,+--,RSB,RLK,html-keyboard-response,98,111061,0.0-9.0-5.12,m,m,true
372,B,90,true,1,0,+,B,B,html-keyboard-response,105,114276,0.0-9.0-5.13,z,z,true
220,B,77,true,1,0,+,B,B,html-keyboard-response,112,117333,0.0-9.0-5.14,m,z,false
572,TXG,90,true,3,0,+++,TXG,TXG,html-keyboard-response,119,120749,0.0-9.0-5.15,z,z,true
485,FMN,77,true,3,2,+--,FKS,FMN,html-keyboard-response,126,124077,0.0-9.0-5.16,m,m,true
465,QW,90,true,2,0,++,QW,QW,html-keyboard-response,133,127396,0.0-9.0-5.17,z,z,true
476,FNTH,77,true,4,4,----,VZWQ,FNTH,html-keyboard-response,140,130709,0.0-9.0-5.18,m,m,true
443,JHSN,77,true,4,3,--+-,RZSB,JHSN,html-keyboard-response,147,133989,0.0-9.0-5.19,m,m,true
473,WR,90,true,2,0,++,WR,WR,html-keyboard-response,154,137300,0.0-9.0-5.20,z,z,true
516,QVHN,90,true,4,0,++++,QVHN,QVHN,html-keyboard-response,161,140653,0.0-9.0-5.21,z,z,true
480,GV,77,true,2,1,+-,GP,GV,html-keyboard-response,168,143966,0.0-9.0-5.22,m,m,true
433,WSJ,90,true,3,1,+-+,WPJ,WSJ,html-keyboard-response,175,147244,0.0-9.0-5.23,z,m,false
435,PW,77,true,2,0,++,PW,PW,html-keyboard-response,182,150508,0.0-9.0-5.24,m,z,false
432,VD,90,true,2,0,++,VD,VD,html-keyboard-response,189,153781,0.0-9.0-5.25,z,z,true
443,ZDBG,77,true,4,2,-++-,LDBR,ZDBG,html-keyboard-response,196,157061,0.0-9.0-5.26,m,m,true
450,X,77,true,1,1,-,V,X,html-keyboard-response,203,160349,0.0-9.0-5.27,m,m,true
401,K,90,true,1,0,+,K,K,html-keyboard-response,210,163588,0.0-9.0-5.28,z,z,true
463,RD,77,true,2,1,-+,CD,RD,html-keyboard-response,217,166885,0.0-9.0-5.29,m,m,true
432,PRZ,90,true,3,0,+++,PRZ,PRZ,html-keyboard-response,224,170149,0.0-9.0-5.30,z,z,true
439,H,77,true,1,1,-,F,H,html-keyboard-response,231,173420,0.0-9.0-5.31,m,m,true
