rt,stimulus,key_press,Trial,nTotal,nDiff,mask,prime,probe,trial_type,trial_index,time_elapsed,internal_node_id,response,cresponse,ACC
539,PZH,77,true,3,0,+++,PZH,PZH,html-keyboard-response,14,235321,0.0-9.0-5.0,m,z,false
502,JTZP,90,true,4,0,++++,JTZP,JTZP,html-keyboard-response,21,238664,0.0-9.0-5.1,z,z,true
546,MQJ,90,true,3,0,+++,MQJ,MQJ,html-keyboard-response,28,242057,0.0-9.0-5.2,z,z,true
551,FJ,77,true,2,2,--,PR,FJ,html-keyboard-response,35,245449,0.0-9.0-5.3,m,m,true
552,ZH,77,true,2,2,--,LK,ZH,html-keyboard-response,42,248833,0.0-9.0-5.4,m,m,true
null,SL,null,true,2,0,++,SL,SL,html-keyboard-response,49,256670,0.0-9.0-5.5,m,z,false
null,C,null,true,1,1,-,K,C,html-keyboard-response,56,264521,0.0-9.0-5.6,m,m,true
null,TF,null,true,2,0,++,TF,TF,html-keyboard-response,63,272352,0.0-9.0-5.7,m,z,false
null,J,null,true,1,0,+,J,J,html-keyboard-response,70,282363,0.0-9.0-5.8,m,z,false
null,TF,null,true,2,1,+-,TR,TF,html-keyboard-response,77,292424,0.0-9.0-5.9,m,m,true
null,KR,null,true,2,1,-+,CR,KR,html-keyboard-response,84,302488,0.0-9.0-5.10,m,m,true
null,RSWX,null,true,4,2,++--,RSGF,RSWX,html-keyboard-response,91,312538,0.0-9.0-5.11,m,m,true
null,BWL,null,true,3,0,+++,BWL,BWL,html-keyboard-response,98,322613,0.0-9.0-5.12,m,z,false
null,TH,null,true,2,0,++,TH,TH,html-keyboard-response,105,332670,0.0-9.0-5.13,m,z,false
null,BQXM,null,true,4,0,++++,BQXM,BQXM,html-keyboard-response,112,342731,0.0-9.0-5.14,m,z,false
null,ZLJ,null,true,3,2,-+-,DLF,ZLJ,html-keyboard-response,119,352799,0.0-9.0-5.15,m,m,true
null,GFJV,null,true,4,3,+---,GWCR,GFJV,html-keyboard-response,126,362852,0.0-9.0-5.16,m,m,true
null,LCG,null,true,3,3,---,JRW,LCG,html-keyboard-response,133,372902,0.0-9.0-5.17,m,m,true
null,QTVF,null,true,4,0,++++,QTVF,QTVF,html-keyboard-response,140,382948,0.0-9.0-5.18,m,z,false
null,V,null,true,1,0,+,V,V,html-keyboard-response,147,392996,0.0-9.0-5.19,m,z,false
null,K,null,true,1,0,+,K,K,html-keyboard-response,154,403052,0.0-9.0-5.20,m,z,false
null,F,null,true,1,0,+,F,F,html-keyboard-response,161,413096,0.0-9.0-5.21,m,z,false
null,FCMT,null,true,4,1,-+++,SCMT,FCMT,html-keyboard-response,168,423138,0.0-9.0-5.22,m,m,true
null,J,null,true,1,1,-,G,J,html-keyboard-response,175,433186,0.0-9.0-5.23,m,m,true
null,F,null,true,1,1,-,Q,F,html-keyboard-response,182,443236,0.0-9.0-5.24,m,m,true
null,QVX,null,true,3,2,+--,QCT,QVX,html-keyboard-response,189,453275,0.0-9.0-5.25,m,m,true
null,DP,null,true,2,0,++,DP,DP,html-keyboard-response,196,463320,0.0-9.0-5.26,m,z,false
null,HWS,null,true,3,0,+++,HWS,HWS,html-keyboard-response,203,473364,0.0-9.0-5.27,m,z,false
null,S,null,true,1,1,-,L,S,html-keyboard-response,210,483403,0.0-9.0-5.28,m,m,true
null,HZB,null,true,3,1,+-+,HVB,HZB,html-keyboard-response,217,493460,0.0-9.0-5.29,m,m,true
null,XFMC,null,true,4,4,----,KLBV,XFMC,html-keyboard-response,224,503504,0.0-9.0-5.30,m,m,true
null,RMWJ,null,true,4,0,++++,RMWJ,RMWJ,html-keyboard-response,231,513557,0.0-9.0-5.31,m,z,false
